compound_name,cas_number,smiles,primary_category,secondary_category,tertiary_category,primary_action,biological_description,Mol Weight
Bretazenil,[84379-13-5],O=C(N4[C@]([H])3CCC4)C1=C(Br)C=CC=C1N2C3=C(C(OC(C)(C)C)=O)N=C2,Ion Channels,Ligand-gated Ion Channels,GABAA and A-rho Receptors,Benzodiazepine partial agonist,Partial agonist at the GABAA benzodiazepine site (EC50 = 10 nM at alpha1beta1gamma2 receptors). Displays anticonvulsive activity in vivo.,418.28
Bromocriptine mesylate,[22260-51-1],[H][C@]4([C@@](N[C@]([C@H](C)C)5C(N([C@@]([H])(CC(C)C)C(N(CCC7)[C@@]76[H])=O)[C@@]6(O)O5)=O)=O)CN([C@](C3=C4)([H])CC1=C(Br)NC2=C1C3=CC=C2)C.CS(=O)(O)=O,7-TM Receptors,Dopamine Receptors,Non-selective Dopamine,D2-like agonist (D2>D3>D4),"Selective D2-like dopamine receptor agonist (Ki values are ~ 8, ~ 5, ~ 290, ~ 440 and ~ 450 nM for D2, D3, D4, D1 and D5 receptors respectively).",750.7
Bromosporine,[1619994-69-2],CC1=C(NS(=O)(C)=O)C=C(C3=NN2C(C(NC(OCC)=O)=C3)=NN=C2C)C=C1,Epigenetics,Bromodomains,,Broad spectrum bromodomain inhibitor,Broad spectrum bromodomain inhibitor. Accelerates FRAP recovery of BRD4 and CREBBP in cells at a concentration of 1 muM.,404.44
BS 181 dihydrochloride,,CC(C)C1=C2N=C(NCCCCCCN)C=C(NCC3=CC=CC=C3)N2N=C1.Cl.Cl,Enzymes,Kinases,Cyclin-dependent Kinase,Selective cdk7 inhibitor,Selective cdk7 inhibitor (IC50 = 21 nM). Displays >40-fold selectivity for cdk7 over others cdks. Promotes cell cycle arrest and apoptosis in a range of cancer cells in vitro and inhibits MCF-7 tumor xenograft growth in mice.,453.45
BTB1,[86030-08-2],ClC1=CC([N+]([O-])=O)=C(S(C2=CC=CC=C2)(=O)=O)C=C1,Enzymes,ATPases,Kinesin,Selective and ATP-competitive Kif18A inhibitor,Selective and ATP-competitive mitotic kinesin Kif18A inhibitor (IC50 = 1.7 muM); reversibly inhibits microtubule-stimulated Kif18A ATPase activity. Displays selectivity against a panel of other mitotic kinesins.,297.71
BTS,[1576-37-0],CC1=CC=C(C=C1)S(=O)(=O)NCC1=CC=CC=C1,Enzymes,ATPases,Myosin,Selective inhibitor of skeletal muscle myosin II ATPase activity,Selective inhibitor of the ATPase activity of skeletal muscle myosin II subfragment 1 (S1) (IC50 ~ 5 mM). Reversibly blocks gliding motility and suppresses force and twitch production in fast skeletal muscle.,261.34
BTS 54-505 hydrochloride,[84484-78-6],Cl.CC(C)CC(N)C1(CCC1)C1=CC=C(Cl)C=C1,Transporters,Neurotransmitter Transporters,5-HT Transporters,Potent 5-HT and NA reuptake inhibitor (SNRI); active metabolite of sibutramine (Cat. No. 2290),"Potently active primary amine metabolite of sibutramine (Cat. No. 2290), exhibits a similar pharmacological profile to the parent compound. Inhibits serotonin and noradrenalin reuptake more potently than sibutramine in vitro. Reduces food intake in rodents following i.c.v. administration and increases energy expenditure via thermogenesis in vivo.",288.26
BTT 3033,[1259028-99-3],FC1=CC=C(N2N=CC(S(N(C3=CC=C(NC(NC4=CC=CC=C4)=O)C=C3)C)(=O)=O)=C2)C=C1,Enzyme-Linked Receptors,Integrins,,Selective inhibitor of integrin alpha2beta1,"Selective inhibitor of integrin alpha2beta1 (EC50 = 130 nM for alpha2beta1 binding to collagen I). Binds to the alpha2I domain. Exhibits selectivity for alpha2beta1 over integrins alpha3beta1, alpha4beta1, alpha5beta1 and alphav. Inhibits platelet aggregation to collagen I coated capillaries under flow. Also inhibits binding of alpha2-expressing CHO cells to collagen I under shear stress conditions.",465.5
Budesonide,[51333-22-3],O=C1C=C[C@@]2(C)C(CC[C@]3([H])[C@@]([H])2[C@@H](O)C[C@@]4(C)[C@]([H])3C[C@@H]5[C@](C(CO)=O)4OC(CCC)O5)=C1,Nuclear Receptors,Glucocorticoid Receptor,,Synthetic glucocorticoid; anti-inflammatory and chemopreventive,Synthetic anti-inflammatory glucocorticoid that displays chemopreventive activity. Prevents formation of lung adenomas and adenocarcinomas in mice following inhalation or oral administration. Reverses DNA hypomethylation and modulates expression of cancer related genes.,430.53
Bumetanide,[28395-03-1],CCCCNC1=CC(C(O)=O)=CC(S(=O)(N)=O)=C1OC2=CC=CC=C2,Transporters,Ion Pumps/Transporters,Na+/K+/Cl- Symporter,Na+/2Cl-/K+ (NKCC) symporter inhibitor,Loop diuretic that inhibits the Na+/2Cl-/K+ (NKCC) cotransporter. More potent than furosemide (Cat. No. 3109).,364.42
BVT 948,[39674-97-0],CC1(C)C(=O)N=C2C1=C(O)C(=O)C1=CC=CC=C21,Enzymes,Phosphatases,Protein Tyrosine Phosphatases,Non-competitive protein tyrosine phosphatase inhibitor,"Non-competitive, cell-permeable inhibitor of protein tyrosine phosphatases (PTPs) (IC50 = 0.09 - 1.7 muM); displays irreversible inhibition through catalysis of the hydrogen peroxide-dependent oxidation of PTP. Enhances insulin signaling in vitro and insulin tolerance in ob/ob mice in vivo. Also inhibits several cytochrome P450 isoforms (IC50 <10 muM).",241.25
BX 471,[217645-70-0],FC1=CC=C(CN2C[C@@H](C)N(C(COC3=CC=C(Cl)C=C3NC(N)=O)=O)CC2)C=C1,7-TM Receptors,Chemokine Receptors,Chemokine CC Receptors,"Potent, selective CCR1 antagonist","Potent, selective non-peptide CCR1 antagonist (Ki = 1 nM for human CCR1). Exhibits 250-fold selectivity for CCR1 over CCR2, CCR5 and CXCR4. Inhibits MIP-alpha/CCL3-induced intracellular Ca2+ mobilization. Orally active; effectively reduces disease severity in a rat model of multiple sclerosis. Decreases renal fibrosis in a mouse model of obstructive nephropathy.",434.89
BYK 204165,[1104546-89-5],O=C(NC3=O)C1=CC=CC=C1/C3=C/C2=CC=CN2C,Enzymes,Polymerases,Poly(ADP-ribose) Polymerase,Selective PARP-1 inhibitor,Potent and selective poly(ADP-ribose) polymerase (PARP)-1 inhibitor (pIC50 values are 5.38 and 7.35 for PARP-2 and PARP-1 respectively).,252.27
C 021 dihydrochloride,[1784252-84-1],COC1=C(OC)C=C(N=C(N4CCC(N5CCCCC5)CC4)N=C2NC3CCCCCC3)C2=C1.Cl.Cl,7-TM Receptors,Chemokine Receptors,Chemokine CC Receptors,Potent CCR4 antagonist,Potent CCR4 chemokine receptor antagonist (IC50 values are 0.14 and 0.039 muM for inhibition of chemotaxis in human and mouse respectively).,540.57
C-1,[84468-24-6],O=S(=O)(N1CCNCC1)C1=C2C=CN=CC2=CC=C1,Enzymes,Kinases,Broad Spectrum Protein Kinase Inhibitors,"Inhibits PKG, PKA and PKC","Protein kinase inhibitor. Inhibits PKG, PKA and PKC (IC50 values are 4, 8 and 12 µM, respectively). Widely used as a ROCK inhibitor. Increases efficiency of human fibroblast reprogramming with PD 0325901 (Cat.No 4192), CHIR 99021 (Cat.No 4432), A 83-01 (Cat.No 2939) and hLIF. Improves survival of human pluripotent stem cells in culture.",277.34
C34,[40592-88-9],CC(OC[C@@H]1[C@@H](OC(C)=O)[C@H](OC(C)=O)[C@@H](NC(C)=O)[C@@H](OC(C)C)O1)=O,Enzyme-Linked Receptors,Toll-like Receptors,,TLR4 inhibitor,"TLR4 inhibitor; attenuates TLR4 signaling in enterocytes and macrophages in vitro, and reduces systemic inflammation in mouse models of endotoxemia and necrotizing enterocolitis (NEC). Also suppresses LPS signaling in human ileum displaying NEC ex-vivo. Displays no significant effects on signaling via TLR2 or TLR9.",389.4
Cabergoline,[81409-90-7],CC2=C(C(C[C@]3([H])[C@@]([H])2C[C@@H]([C@@](N(C(NCC)=O)CCCN(C)C)=O)CN3CC=C)=CN1)/C/1=C,7-TM Receptors,Dopamine Receptors,Non-selective Dopamine,D2-like agonist (D2>D3>D4),"Selective D2-like dopamine receptor agonist (Ki values are 0.7, 1.5, 9.0 and 165 nM for D2, D3, D4 and D5 receptors respectively) that also displays high affinity for several serotonin receptor subtypes (Ki = 1.2 - 20.0 nM for 5-HT1A, 5-HT1D, 5-HT2A and 5-HT2B). Inhibits secretion of prolactin and growth hormone and reverses levodopa-induced dyskinesias in Parkinsonian monkeys.",451.6
CaCCinh-A01,[407587-33-1],CC(C)(C)C1CCC2=C(SC(NC(C3=CC=CO3)=O)=C2C(O)=O)C1,Ion Channels,Chloride Channels,Ca2+-Activated Chloride Channels,Calcium-activated chloride channel (CaCC) inhibitor,"Calcium-activated chloride channel (CaCC) inhibitor (IC50 ~ 10 muM). Inhibits CaCC currents in human bronchial and intestinal cells. Also inhibits TMEM16A channels (IC50 = 2.1 muM, in TMEM16A-expressing FRT cells).",347.43
Calhex 231 hydrochloride,,O=C(C4=CC=C(Cl)C=C4)N[C@@H](CCCC3)[C@H]3N[C@H](C)C1=C2C(C=CC=C2)=CC=C1.Cl,7-TM Receptors,Calcium-Sensing Receptor,,Negative allosteric modulator of calcium-sensing receptor (CaSR),Negative allosteric modulator of the calcium sensing receptor (CaSR). Blocks increases in [3H]inositol phosphate levels elicited by wild-type hCasR activation (IC50= 0.39 muM in transiently transfected HEK293 cells).,443.41
Calpeptin,[117591-20-5],O=C(OCC1=CC=CC=C1)N[C@H](C(N[C@H](C([H])=O)CCCC)=O)CC(C)C,Signal Transduction,Calcium Signaling,Calcium-Sensitive Proteases,Calpain and cathepsin L inhibitor,"Potent, cell-permeable inhibitor of the Ca2+-dependent protease, calpain. Prevents collagen- and thrombin-induced platelet aggregation, probably by blocking calpain induced phospholipase C and thromboxane synthase activation. Potent cathepsin L inhibitor. Recently shown to preferentially inhibit a subset of protein-tyrosine phosphatases.",362.47
Camostat mesylate,[59721-29-8],O=C(C2=CC=C(NC(N)=N)C=C2)OC1=CC=C(CC(OCC(N(C)C)=O)=O)C=C1.CS(=O)(O)=O,Enzymes,Proteases,Other Proteases,Orally active protease inhibitor,"Orally active protease inhibitor. Known to inhibit trypsin and various inflammatory proteases including plasmin, kallikrein and thrombin. Suppresses pancreatitis-induced pain in rats following oral administration.",494.52
Candesartan,[139481-59-7],CCOC1=NC(C=CC=C5C(O)=O)=C5N1CC2=CC=C(C3=CC=CC=C3C4=NN=NN4)C=C2,7-TM Receptors,Peptide Receptors,Angiotensin Receptors,AT1 antagonist,"Angiotensin II receptor 1 (AT1) antagonist (IC50 values are 1.12 and 2.86 nM in bovine adrenal cortex and rabbit aorta, respectively). Exhibits antihypertensive effects in animal models. Also available as a prodrug, candesartan cilexetil (Cat. No. 4792).",440.45
Capecitabine,[154361-50-9],C[C@H]1O[C@@H](N2C=C(F)C(NC(OCCCCC)=O)=NC2=O)[C@H](O)[C@@H]1O,Cell Metabolism,"DNA, RNA and Protein Synthesis",,Prodrug of 5-Fluorouracil (Cat. No. 3257). Inhibits DNA synthesis,Prodrug of 5-Fluorouracil (5-FU) (Cat. No. 3257). Selectively activated in tumor cells by thymidine phosphorylase; inhibits DNA synthesis upon conversion to 5-FU. Orally available.,359.35
Capsazepine,[138977-28-3],OC1=C(O)C=C2CN(CCCC2=C1)C(=S)NCCC1=CC=C(Cl)C=C1,Ion Channels,Transient Receptor Potential Channels,TRPV,Vanilloid receptor antagonist; also activator of ENaCdelta,Selective vanilloid receptor antagonist (Ki = 3.2 muM). Inhibits carrageenan inflammation-induced hyperalgesic responses in the rat. Also activates amiloride-sensitive epithelial Na+ channel ENaCdelta. Also available as part of the Vanilloid TRPV1 Receptor Tocriset™.,376.9
Carbamazepine,[298-46-4],NC(N1C3=C(C=CC=C3)C=CC2=C1C=CC=C2)=O,Ion Channels,Sodium Channels,Voltage-gated Sodium Channels,Inhibitor of neuronal NaV channels; anticonvulsant,"Inhibitor of neuronal voltage-gated Na+ channels. Exhibits anticonvulsant activity. Potentiates GABA-induced Cl- currents in HEK 293 cells expressing the GABAA receptor alpha1beta2gamma2 subtype combination. Can induce autophagy by inhibiting inositol synthesis. Also delays disease onset and prolongs survival in a mouse amyotrophic lateral sclerosis (ALS) model, as well as reducing motor neuron loss and altered muscle morphology.",236.27
Cardiogenol C hydrochloride,[1049741-55-0],OCCNC1=CC=NC(NC2=CC=C(OC)C=C2)=N1.Cl,Stem Cells,Stem Cell Differentiation,ESCs and iPSC,Induces cardiomyocyte differentiation in ESCs,Induces differentiation of mouse embryonic stem cells (ESCs) into cardiomyocytes (EC50 = 100 nM).,296.75
Cardionogen 1,[577696-37-8],C12=NN=C(C3=CC=CO3)N1N=C(C4CCCCC4)S2,Signal Transduction,Wnt Signaling,Beta-catenin,Inhibitor of Wnt/beta-catenin signaling,Wnt signaling modulator. Potently inhibits Wnt/beta-catenin-dependent transcription in murine ES cells (EC50 = 23 nM) and zebrafish embryos. Enlarges heart size via cardiomyocyte hyperplasia; induces ES cell cardiac differentiation.,274.34
Carvedilol,[72956-09-3],COC1=C(OCCNCC(O)COC2=CC=CC3=C2C2=C(N3)C=CC=C2)C=CC=C1,7-TM Receptors,Adrenergic Receptors,Non-selective Adrenergic Beta Receptors,Potent and non-selective beta antagonist; also potent alpha1 antagonist,"Potent beta-adrenoceptor and alpha1-adrenoceptor antagonist (Ki values are 0.81, 0.96 and 2.2 nM for beta1-, beta2- and alpha1-adrenoceptors respectively) that displays antihypertensive and peripheral vasodilatory activity. Blocks cardiac inward-rectifier K+ (KIR) channels, voltage-dependent Ca2+ channels and exhibits antioxidant properties at higher concentrations.",406.47
CASIN,[425399-05-9],OCCNC1C2=C(C(C=C(C4=CC=CC=C4)C=C3)=C3N2)CCC1,Enzymes,GTPases,Small Monomeric GTPases,Cdc42 inhibitor,Cdc42 GTPase inhibitor (IC50 = 2 muM). Reduces active levels of Cdc42 in aged hematopoietic stem cells (HSCs) to that in young HSCs. Reverses the aging-related and polarity phenotype of aged HSCs to that of young HSCs in vivo. Increases histone H4K16 acetylation in aged HSCs.,306.4
Castanospermine,[79831-76-8],[H][C@]12[C@@H](O)CCN1C[C@H](O)[C@@H](O)[C@@H]2O,Enzymes,Glycosylases,,Glucosidases alpha and beta inhibitor,"Potent inhibitor of alpha- and beta-glucosidases, especially glucosidase l (required for glucoprotein processing by transfer of mannose and glucose from asparagine-linked lipids). Inhibits HIV syncytium formation and replication.",189.21
CBiPES hydrochloride,[856702-40-4],O=S(N(CC2=CC=CN=C2)C1=CC(C3=CC=C(C#N)C=C3)=CC=C1)(CC)=O.Cl,7-TM Receptors,Glutamate (Metabotropic) Receptors,Glutamate (Metabotropic) Group II Receptors,Positive allosteric modulator of mGlu2 receptors,Selective positive allosteric modulator of the mGlu2 receptor (IC50 = 98.2 nM). Mimics the action of LY 379268 (Cat. No. 2453); attenuates ketamine-evoked histamine release in vivo.,413.92
CC4,[492-02-4],O=C1N2C([C@@](C3)([H])CN(CCN5C[C@](C6)([H])C(N4C[C@]6([H])C5)=CC=CC4=O)C[C@@]3([H])C2)=CC=C1,Ion Channels,Ligand-gated Ion Channels,Acetylcholine (Nicotinic) Receptors,High affinity and subtype-selective alpha6beta2 and alpha4beta2 nAChR partial agonist,High affinity and subtype selective alpha6beta2 and alpha4beta2 partial agonist (Ki values are 12 and 26nM for rat alpha6beta2 and alpha4beta2 receptors respectively). Has low affinity for alpha3beta4 and alpha7 receptors (Ki values are 4.8 and 13 muM for human alpha3beta4 and rat alpha7 receptors respectively). Stimulates dopamine release from striatal slices in vitro. Attenuates nicotine-induced self-administration and conditional place preference in rats.,406.52
CCG 1423,[285986-88-1],O=C(NOC(C)C(NC2=CC=C(Cl)C=C2)=O)C1=CC(C(F)(F)F)=CC(C(F)(F)F)=C1,Enzymes,GTPases,Small Monomeric GTPases,Rho/SRF pathway inhibitor; induces intermediate mesoderm differentiation from ESCs,"Rho/SRF pathway inhibitor; stimulates apoptosis of a melanoma cell line overexpressing RhoC (A375M2). Suppresses Rho-dependent invasion of PC-3 prostate cancer cells in vitro and inhibits lysophosphatidic acid-induced DNA synthesis in PC-3 prostate cancer cells. When used in combination with Retinoic acid, LY 294002 and Pyridone 6, it induces intermediate mesoderm differentiation from ESCs.",454.75
CCG 50014,[883050-24-6],FC(C=C3)=CC=C3CN(C(N(C2=CC=C(C)C=C2)S1)=O)C1=O,Enzymes,GTPases,Heterotrimeric G-protein GTPases,Potent and selective inhibitor of regulator of G-protein signaling 4 (RGS4) protein,Potent and selective inhibitor of regulator of G-protein signaling 4 (RGS4) protein (IC50 values are 30.1 nM and 11.0 muM for RGS4 and RGS8 respectively). Exhibits >20-fold selectivity for RGS4 over other RGS proteins.,316.35
CCMI,[917837-54-8],CC1=NOC(=C1)C(=CNC1=CC=C(Cl)C=C1)C(=O)NC1=CC=C(Cl)C=C1,Ion Channels,Ligand-gated Ion Channels,Acetylcholine (Nicotinic) Receptors,Positive allosteric modulator of alpha7 nAChRs,Positive allosteric modulator of alpha7 neuronal nicotinic acetylcholine receptors (nAChR). Evokes positive modulation of acetylcholine (ACh)-induced EC5 currents (EC50 = 0.7 muM). Exhibits cognitive-enhancing properties in rodent models; displays no cytotoxic effects in PC12 cells or rat primary cortical neurons.,388.25
CCT 018159,[171009-07-7],CCC1=C(O)C=C(O)C(=C1)C1=NNC(C)=C1C1=CC2=C(OCCO2)C=C1,Signal Transduction,Heat Shock Proteins,Hsp90,Hsp90 inhibitor,Novel inhibitor of heat shock protein 90 (Hsp90) ATPase activity (IC50 = 5.7 muM) that displays selectivity over human Hsp72 and topoisomerase II. Inhibits proliferation of HCT116 human colon tumor cells and produces upregulation of Hsp70 and downregulation of c-Raf and cdk4. More soluble than 17-AAG (Cat. No. 1515) and is independent of NQO1/DT-diaphorase and P-glycoprotein expression.,352.39
CCT 031374 hydrobromide,[1219184-91-4],O=C(C4=CC=C(C5=CC=CC=C5)C=C4)CN1C3=C(C=CC=C3)N2C1=NCC2.Br,Signal Transduction,Wnt Signaling,Beta-catenin,Inhibits TCF-dependent transcription; lowers beta-catenin levels,Inhibitor of TCF-dependent transcription. Blocks BIO-induced beta-catenin stabilization; reduces nuclear and cytosolic beta-catenin levels in mouse L-cells. Inhibits growth and reduces TCF-dependent transcription in SW480 colon carcinoma cells.,434.33
CCT 137690,[1095382-05-0],CN(CC4)CCN4C(C=C3)=CC=C3C2=NC1=C(N5CCN(CC6=NOC(C)=C6)CC5)C(Br)=CN=C1N2,Enzymes,Kinases,Aurora Kinases,Potent pan-Aurora kinase inhibitor,"Potent inhibitor of Aurora kinases (IC50 values are 0.015, 0.019 and 0.025 muM at Aurora A, Aurora C and Aurora B respectively). Displays antiproliferative activity in a range of human tumor cell lines. Orally bioavailable.",551.48
CD 3254,[196961-43-0],CC1(C)C2=C(C=C(C3=C(O)C=CC(/C=C/C(O)=O)=C3)C(C)=C2)C(C)(C)CC1,Nuclear Receptors,Retinoid X Receptor,,Potent and selective RXRalpha agonist,"Selective RXRalpha agonist; exhibits no activity at RARalpha, RARbeta or RARgamma receptors.",364.48
CD 437,[125316-60-1],OC(=O)C1=CC=C2C=C(C=CC2=C1)C1=CC=C(O)C(=C1)C12CC3CC(CC(C3)C1)C2,Nuclear Receptors,Retinoic Acid Receptors,,RARgamma-selective agonist,Synthetic retinoid that is an RARgamma-selective agonist. Displays RARgamma-dependent and -independent effects on differentiation and apoptosis.,398.5
CDPPB,[781652-57-1],O=C(C4=CC(C#N)=CC=C4)NC1=CC(C3=CC=CC=C3)=NN1C2=CC=CC=C2,7-TM Receptors,Glutamate (Metabotropic) Receptors,Glutamate (Metabotropic) Group I Receptors,Positive allosteric modulator of mGlu5 receptors,"Brain penetrant, selective positive allosteric modulator at the mGlu5 receptor (EC50 values are 10 and 20 nM for human and rat receptors respectively). Antipsychotic; reverses amphetamine-induced locomotor activity and amphetamine-induced deficits in prepulse inhibition in rats.",364.4
CE3F4,[143703-25-7],BrC1=C(F)C(Br)=C(CCC(C)N2C=O)C2=C1,Enzymes,GTPases,Small Monomeric GTPases,Noncompetitive Epac1 inhibitor,Noncompetitive Epac1 inhibitor. Blocks Epac-induced Rap activation and prevents isoprenaline-induced autophagy flux in cardiomyocytes. Has no effect on PKA activity in the presence of cAMP.,351.01
Celecoxib,[169590-42-5],CC(C=C3)=CC=C3C1=CC(C(F)(F)F)=NN1C2=CC=C(S(=O)(N)=O)C=C2,Enzymes,Oxygenases/Oxidases,Cyclooxygenase,Selective cyclooxygenase-2 (COX-2) inhibitor,Selective cyclooxygenase-2 (COX-2) inhibitor (IC50 values are 15 and 0.04 muM for COX-1 and COX-2 respectively). Anti-inflammatory with shorter plasma half-life in vivo than SC 58121 (Cat. No. 2895). Displays chemopreventive activity in in vivo tumor models.,381.37
Cerestat,[137160-11-3],N=C(N(C)C3=CC=CC(CC)=C3)NC1=C2C(C=CC=C2)=CC=C1.Cl,Ion Channels,Ligand-gated Ion Channels,Glutamate (Ionotropic) Receptors,Potent and noncompetitive NMDA antagonist,Potent and noncompetitive NMDA receptor antagonist (IC50 = 36 nM). Exhibits >70-fold selectivity for NMDA receptor over sigma receptor. Neuroprotective in a rat model of focal ischemia.,339.86
CFTRinh 172,[307510-92-5],O=C(N(C3=CC=CC(C(F)(F)F)=C3)C(S2)=S)\C2=C/C1=CC=C(C(O)=O)C=C1,Ion Channels,Chloride Channels,CFTR,"Voltage-independent, selective CFTR chloride channel blocker","Voltage-independent, selective CFTR chloride channel blocker (Ki = 300 nM) that alters channel gating. Blocks intestinal fluid secretion induced by cholera toxin and Escherichia coli and suppresses cyst growth in animal models of polycystic kidney disease. Orally active. Inhibits mitochondrial respiration and increases reactive oxygen species (ROS) production independently of CFTR in several cell lines.",409.4
CGK 733,[905973-89-9],[O-][N+](=O)C1=CC(NC(=S)NC(NC(=O)C(C2=CC=CC=C2)C2=CC=CC=C2)C(Cl)(Cl)Cl)=CC=C1F,Regulated Cell Death,Apoptosis,Other Apoptosis,Induces apoptosis in prematurely senescent cells,Originally defined as a selective inhibitor of ATR and ATM kinases. Induces cell death in prematurely senescent breast cancer cells. Decreases p21CIP1 levels in premature senescent MCF-7 and HCT-116 cells; also exhibits antiproliferative activity in a range of cancer cell lines. Blocks camptothecin-induced p53 phosphorylation and protects cells from camptothecin-induced apoptosis.,555.84
CGP 37157,[75450-34-9],ClC1=CC=C2NC(=O)CSC(C3=CC=CC=C3Cl)C2=C1,Transporters,Ion Pumps/Transporters,Na+/Ca2+ Exchanger,Antagonist of mitochondrial Na+/Ca2+ exchange,Selective antagonist of the mitochondrial Na+-Ca2+ exchanger (IC50 = 0.4 muM).,324.22
CGP 52411,[145915-58-8],O=C2NC(C1=CC(NC4=CC=CC=C4)=C(NC3=CC=CC=C3)C=C12)=O,Enzyme-Linked Receptors,Receptor Tyrosine Kinases (RTKs),EGFR,EGFR inhibitor. Also inhibits Abeta42 fibril formation,Selective inhibitor of the epidermal growth factor receptor (EGFR) (IC50 = 0.3 muM in vitro). Also inhibits and reverses the formation of Abeta42 fibers associated with Alzheimer's disease. Eliminates calcium influx potential when coincubated with amyloid beta-peptide (1-42) (Cat.No. 1428); reduces neurotoxicity by blocking Ca2+ influx into neuronal cells.,329.35
CGP 53353,[145915-60-2],FC1=CC=C(NC2=CC3=C(C=C2NC2=CC=C(F)C=C2)C(=O)NC3=O)C=C1,Enzymes,Kinases,Protein Kinase C,Selective inhibitor of PKCbetaII,Selective inhibitor of PKCbetaII (IC50 values are 0.41 and 3.8 muM for PKCbetaII and PKCbetaI respectively). Also inhibits prionogenic Sup35 fibrillization (IC50 ~ 3.4 muM) and inhibits de novo Abeta42 assembly in vitro.,365.34
CGP 54626 hydrochloride,[149184-21-4],OP(CC1CCCCC1)(C[C@@H](O)CN[C@@H](C)C2=CC(Cl)=C(Cl)C=C2)=O.Cl,7-TM Receptors,GABAB Receptors,,Potent and selective GABAB antagonist,"A potent, selective GABAB receptor antagonist (IC50 = 4 nM).",444.76
CGP 55845 hydrochloride,[149184-22-5],Cl.C[C@H](NC[C@H](O)CP(O)(=O)CC1=CC=CC=C1)C1=CC=C(Cl)C(Cl)=C1,7-TM Receptors,GABAB Receptors,,Potent and selective GABAB antagonist,"Potent, selective GABAB receptor antagonist (IC50 = 5 nM) that prevents agonist binding (pKi = 8.35) and inhibits GABA and glutamate release (pEC50 values are 8.08 and 7.85 respectively). Inhibits GABAB responses to baclofen (IC50 = 130 nM in an isoproterenol assay) and potentiates the hypoglycemic response to glucose in vitro.",438.71
CGP 57380,[522629-08-9],NC1=C2C(NC3=CC=C(F)C=C3)=NNC2=NC=N1,Enzymes,Kinases,Mnk,Selective inhibitor of Mnk1,"Inhibitor of MAP-kinase interacting kinase-1 (Mnk1, MKNK1) (IC50 = 2.2 muM) that displays selectivity over p38, JNK1, ERK1, ERK2, PKC and c-src family kinases. Blocks phosphorylation of eIF4E in cellular assays (IC50 = 3 muM) and inhibits LPS-induced TNFalpha expression in macrophages.",244.23
CGP 60474,[164658-13-3],OCCCNC1=NC=CC(C2=NC(NC3=CC(Cl)=CC=C3)=NC=C2)=C1,Enzymes,Kinases,Cyclin-dependent Kinase,Potent cdk inhibitor,"Potent cyclin-dependent kinase (cdk) inhibitor (reported IC50 values are 3 - 80, 9.5, 13, 17 - 60, 200 and 220 nM for cdk2, cdk5, cdk9, cdk1, cdk4 and cdk7, respectively). Also inhibits PKCalpha in the low micromolar range. Displays reversible G1/S cell cycle arrest in U2-OS cells.",355.82
CGP 71683 hydrochloride,[192322-50-2],NC1=NC(NC[C@H]3CC[C@H](CNS(=O)(C4=CC=CC5=C4C=CC=C5)=O)CC3)=NC2=C1C=CC=C2.Cl,7-TM Receptors,Peptide Receptors,NPY Receptors,Highly selective and potent non-peptide NPY Y5 receptor antagonist,"Extremely selective, non-peptide NPY Y5 receptor antagonist. Displays > 1000-fold selectivity over Y1, Y2 and Y4 receptors; IC50 values are 1.4, 2765, 7187 and 5637 nM at cloned rat Y5, Y1, Y2 and Y4 receptors respectively. Potently inhibits NPY-induced food intake following i.p. administration in diabetic, free-feeding and fasted rats.",512.07
CGP 74514 dihydrochloride,,CCN2C1=NC(N[C@@H]4CCCC[C@@H]4N)=NC(NC3=CC(Cl)=CC=C3)=C1N=C2.Cl.Cl,Enzymes,Kinases,Cyclin-dependent Kinase,Potent cdk1 inhibitor,Potent cdk1 inhibitor (IC50 = 25 nM). Reduces Akt phosphorylation and increases mitochondrial damage in leukemia cells in vitro in combination with LY 294002.,458.82
CGP 7930,[57717-80-3],CC(C)(CO)CC1=CC(=C(O)C(=C1)C(C)(C)C)C(C)(C)C,7-TM Receptors,GABAB Receptors,,Positive allosteric modulator of GABAB receptors,Positive allosteric modulator of GABAB receptors. Increases the potency and efficacy of GABA at both native and recombinant GABAB receptors (EC50 values are 5.37 and 4.60muM respectively) and enhances the inhibitory effect of the agonist L-baclofen in cultured cortical neurons. Reduces operant self-administration of ethanol in alcohol-preferring rats following i.p. administration.,292.46
CGS 20625,[111205-55-1],COC1=CC=C(C=C1)N1N=C2C(=CNC3=C2CCCCC3)C1=O,Ion Channels,Ligand-gated Ion Channels,GABAA and A-rho Receptors,Selective benzodiazepine partial agonist,"Selective, partial agonist for the benzodiazepine binding site of the GABAA receptor. Potently inhibits [3H]-flunitrazepam binding to central benzodiazepine receptors (IC50 = 1.3 nM) and displays weak affinity for peripheral benzodiazepine (IC50 = 0.68 - 2.25 muM) and GABA binding sites (IC50 > 10000 muM). Displays anxiolytic activity in vivo following oral administration. .",309.36
