commercial_name,alternative_name,clinical_phase,mechanism_of_action,target,disease_area,indication
CARMOFUR,,Launched,thymidylate synthase inhibitor,TYMS,oncology,breast cancer|colorectal cancer
CARPROFEN,,Launched,cyclooxygenase inhibitor,PTGS1|PTGS2,rheumatology,osteoarthritis
CARVEDILOL,,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|GJA1|HIF1A|KCNH2|NDUFC2|NPPB|SELE|VCAM1|VEGFA,cardiology,myocardial infarction|hypertension
Carvedilol,,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|GJA1|HIF1A|KCNH2|NDUFC2|NPPB|SELE|VCAM1|VEGFA,cardiology,myocardial infarction|hypertension
Catharanthine,,Preclinical,tubulin polymerization inhibitor,,,
Cefaclor,Ceclor ,Launched,bacterial cell wall synthesis inhibitor,,infectious disease|otolaryngology,pneumonia|skin infections|urinary tract infections|respiratory tract infections|tonsillitis|pharyngitis
CEFATRIZINE,,,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
CEFDINIR,,Launched,bacterial cell wall synthesis inhibitor,MPO,infectious disease|otolaryngology|pulmonary,pneumonia|tonsillitis|pharyngitis|bronchitis|skin infections|otitis|sinusitis
Cefdinir,Omnicef,Launched,bacterial cell wall synthesis inhibitor,MPO,infectious disease|otolaryngology|pulmonary,pneumonia|tonsillitis|pharyngitis|bronchitis|skin infections|otitis|sinusitis
Cefditoren pivoxil,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease|pulmonary|otolaryngology,pneumonia|bronchitis|skin infections|tonsillitis|pharyngitis
CEFIXIME,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease|otolaryngology|pulmonary,urinary tract infections|otitis|pharyngitis|tonsillitis|gonorrhea|bronchitis
CEFOPERAZONE,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections
Cefoperazone,Cefobid ,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-negative bacterial infections
Cefoselis sulfate,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,
CEFPODOXIME PROXETIL,,Launched,bacterial cell wall synthesis inhibitor,,otolaryngology|infectious disease|pulmonary,pharyngitis|pneumonia|bronchitis|gonorrhea|skin infections|urinary tract infections|sinusitis|tonsillitis
Cefprozil hydrate,Cefzil ,Launched,bacterial cell wall synthesis inhibitor,,otolaryngology|infectious disease|pulmonary,pharyngitis|tonsillitis|otitis|sinusitis|respiratory tract infections|skin infections|bronchitis
CEFTAZIDINE,CEFTAZIDIME,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,respiratory tract infections|skin infections|bacterial septicemia|bone and joint infections|gynecologic infections|intra-abdominal infections|meningitis
CEFUROXIME AXETIL,,Launched,bacterial cell wall synthesis inhibitor,,otolaryngology,pharyngitis|tonsillitis|otitis|sinusitis
CELECOXIB,,Launched,cyclooxygenase inhibitor,CA12|PDPK1|PTGS2,rheumatology|endocrinology,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD)
Celecoxib,,Launched,cyclooxygenase inhibitor,CA12|PDPK1|PTGS2,rheumatology|endocrinology,osteoarthritis|rheumatoid arthritis|ankylosing spondylitis|primary dysmenorrhea (PD)
Cephalomannine,,Preclinical,DNA polymerase inhibitor,,,
Cetirizine Dihydrochloride,,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis
CETRAXATE HCl,,,,,gastroenterology,gastric ulcer
Chenodeoxycholic acid,,Launched,11-beta hydroxysteroid dehydrogenase inhibitor|FXR agonist,HSD11B1|NR1H4,cardiology|gastroenterology,cerebral cholesterosis|gallstones
Chloramphenicol,Chloromycetin,Launched,bacterial 50S ribosomal subunit inhibitor,CD55,infectious disease|endocrinology,meningitis|fever|cholera
Chlormezanone,Trancopal ,Withdrawn,GABA receptor modulator,GABRA1|TSPO,,
Chlorothiazide,,Launched,diuretic,CA1|CA2|CA4|SLC12A3,cardiology,hypertension
Chloroxine,,Launched,opioid receptor antagonist,OPRK1,gastroenterology|infectious disease|dermatology,diarrhea|inflammatory bowel disease|giardiasis|dandruff
CHLORPHENIRAMINE MALEATE,,Launched,,,allergy,
Chlorpheniramine Maleate,,Launched,antihistamine,,allergy,
Chlorpromazine,Sonazine,Launched,dopamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALM1|CHRM1|CHRM3|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR2A|HTR2B|HTR2C|HTR6|HTR7|KCNH2|ORM1|ORM2|SMPD1|TRPC5,neurology/psychiatry|gastroenterology|hematology|infectious disease,schizophrenia|nausea|vomiting|acute intermittent porphyria (AIP)|tetanus
Chlorprothixene,,Launched,dopamine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|HRH1|HTR2A|HTR2B|HTR2C,neurology/psychiatry,schizophrenia|bipolar disorder
CICLOPIROX,,Launched,membrane integrity inhibitor,ATP1A1,infectious disease,onychomycosis
Ciclopirox,Penlac ,Launched,membrane integrity inhibitor,ATP1A1,infectious disease,onychomycosis
Ciclopirox,Penlac ,Launched,membrane integrity inhibitor,ATP1A1,infectious disease,onychomycosis
Cidofovir,Vistide ,Launched,DNA polymerase inhibitor,,infectious disease,acquired immunodeficiency syndrome (AIDS)|cytomegalovirus retinitis
CILASTATIN,,Launched,dehydropeptidase inhibitor,DPEP1,,
CILASTATIN Na,,Launched,dehydropeptidase inhibitor,DPEP1,,
Cilazapril monohydrate,Inhibace ,Launched,angiotensin converting enzyme inhibitor,ACE,cardiology,hypertension|congestive heart failure
CILNIDIPINE,,Launched,calcium channel blocker,CACNA1B,cardiology,hypertension
Cilnidipine,,Launched,calcium channel blocker,CACNA1B,cardiology,hypertension
Cilostazol,,Launched,phosphodiesterase inhibitor,PDE3A|PDE3B,cardiology,claudication
Cimetidine,Tagamet,Launched,histamine receptor antagonist,HRH2|SLC29A4|SLC47A1|SLC47A2,gastroenterology|hematologic malignancy|endocrinology,duodenal ulcer disease|peptic ulcer disease (PUD)|gastroesophageal reflux disease (GERD)|aggressive systemic mastocytosis (ASM)|Zollinger-Ellison syndrome|endocrine adenoma
Cinepazide maleate,,Withdrawn,calcium channel activator,,,
Ciprofloxacin,Cipro ,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology,otitis
CIPROFLOXACIN Hydrochloride,,Launched,bacterial DNA gyrase inhibitor,TOP2A,otolaryngology,otitis
CISAPRIDE monohydrate,,Withdrawn,serotonin receptor agonist,HTR2A|HTR3A|HTR4|KCNH2,,
Cisatracurium besylate,Nimbex ,Launched,acetylcholine receptor antagonist,CHRNA2,neurology/psychiatry|critical care,muscle relaxant|endotracheal intubation
Cisplatin,,Launched,DNA alkylating agent|DNA synthesis inhibitor,XIAP,oncology,testicular carcinoma|ovarian cancer|bladder cancer
Cladribine,,Launched,adenosine deaminase inhibitor|ribonucleotide reductase inhibitor,ADA|PNP|POLA1|POLE|POLE2|POLE3|POLE4|RRM1|RRM2|RRM2B,hematologic malignancy,hairy cell leukemia
Clafen,Cyclophosphamide ,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,hematologic malignancy|oncology,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer
Clafen,Cyclophosphamide,Launched,DNA alkylating agent,CYP2A6|CYP2B6|CYP2C18|CYP2C19|CYP2C8|CYP2C9|CYP2D6|CYP3A4|CYP3A5|CYP3A7,hematologic malignancy|oncology,Hodgkin's lymphoma|small lymphocytic lymphoma (SLL)|breast cancer|neuroblastoma|Burkitt's lymphoma|multiple myeloma|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)|chronic myeloid leukemia (CML)|true histiocytic lymphoma (THL)|retinoblastoma|ovarian cancer
CLARITHROMYCIN,,Launched,bacterial 50S ribosomal subunit inhibitor,CYP3A4,otolaryngology|pulmonary|infectious disease,pharyngitis|tonsillitis|sinusitis|bronchitis|pneumonia|skin infections|otitis
Clarithromycin,"Biaxin, Klacid ",Launched,bacterial 50S ribosomal subunit inhibitor,CYP3A4,otolaryngology|pulmonary|infectious disease,pharyngitis|tonsillitis|sinusitis|bronchitis|pneumonia|skin infections|otitis
CLEBOPRIDE MALEATE,,Launched,dopamine receptor antagonist,ACHE|DRD2,gastroenterology,nausea
Clemastine Fumarate,,Launched,histamine receptor antagonist,HRH1,allergy,allergic rhinitis|urticaria
CLENBUTEROL HCl,,Launched,adrenergic receptor agonist,ADRB1|ADRB2|ADRB3|NGF|TNF,pulmonary,chronic obstructive pulmonary disease (COPD)|asthma
Cleviprex,Clevidipine ,Launched,calcium channel blocker,CACNA1C|CACNA1D|CACNA1F|CACNA1S,cardiology,hypertension
CLINAFLOXACIN HCl,,Phase 3,bacterial DNA gyrase inhibitor,,infectious disease,
Clindamycin hydrochloride,Dalacin,Launched,protein synthesis inhibitor,,infectious disease,respiratory tract infections|pneumonia|skin infections|gynecologic infections|intra-abdominal infections|bacterial septicemia|bone and joint infections
Clindamycin palmitate HCl,,Launched,bacterial 50S ribosomal subunit inhibitor,,infectious disease,intra-abdominal infections|skin infections|pneumonia|peritonitis|gynecologic infections
CLINDAMYCIN Phosphate,,Launched,protein synthesis inhibitor,,obstetrics/gynecology,bacterial vaginosis
Clindamycin phosphate,,Launched,protein synthesis inhibitor,,obstetrics/gynecology,bacterial vaginosis
CLOBAZAM,,Launched,GABA benzodiazepine site receptor agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ,neurology/psychiatry,seizures
CLOBESTASOL PROPIONATE BP98,,Launched,,,dermatology,
Clobetasol propionate,,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,dermatology,corticosteroid-responsive dermatoses
Clofarabine,,Launched,ribonucleotide reductase inhibitor,POLA1|POLD1|POLE|RRM1|RRM2|RRM2B,hematologic malignancy,acute lymphoblastic leukemia (ALL)
Clofibrate,Atromid-S,Launched,PPAR receptor agonist,LPL|PPARA,endocrinology|cardiology,hyperlipidemia|cholesterol
CLOMEPHINE CITRATE,CLOMIPHENE,Launched,estrogen receptor antagonist,ESR1,obstetrics/gynecology,infertility
Clomifene citrate,Serophene ,Launched,estrogen receptor antagonist,ESR1,obstetrics/gynecology,infertility
Clomipramine hydrochloride,Anafranil ,Launched,serotonin transporter (SERT) inhibitor,GSTP1|HTR2A|HTR2B|HTR2C|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,obsessive compulsive disorder (OCD)
CLONAZEPAM,,Launched,GABA benzodiazepine site receptor agonist,GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|TSPO,neurology/psychiatry,seizures|panic disorders
Clonidine hydrochloride,Catapres,Launched,adrenergic receptor agonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C,cardiology|neurology/psychiatry,hypertension|attention-deficit/hyperactivity disorder (ADHD)
Clopidogrel,Plavix ,Launched,purinergic receptor antagonist,P2RY12,cardiology|neurology/psychiatry,myocardial infarction|stroke|peripheral artery disease (PAD)|acute coronary syndrome (ACS)
CLOPIDOGREL Sulphate,,Launched,purinergic receptor antagonist,P2RY12,cardiology|neurology/psychiatry,myocardial infarction|stroke|peripheral artery disease (PAD)|acute coronary syndrome (ACS)
CLOPRENALINE HCl,clorprenaline,Launched,adrenergic receptor agonist,ADRB1|ADRB2,pulmonary,asthma
Clorsulon,,Launched,glycolysis inhibitor,,infectious disease,gastrointestinal roundworms|lungworms|liver flukes|lice|mites
CLOSANTEL SODIUM,,Launched,chitinase inhibitor|NFkB pathway inhibitor,,infectious disease,liver flukes
Clotrimazole,Canesten,Launched,cytochrome P450 inhibitor|imidazoline receptor ligand,CYP3A4|KCNN4|NR1I2|NR1I3|TRPM2|TRPM4|TRPM8,infectious disease,vulvovaginal candidiasis|oropharyngeal candidiasis
CLOXACILLIN Na,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
Cloxacillin sodium,Cloxacap ,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,gram-positive bacterial infections
Clozapine,Clozaril,Launched,dopamine receptor antagonist|serotonin receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|CALY|CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|DRD1|DRD2|DRD3|DRD4|DRD5|HRH1|HRH4|HTR1A|HTR1B|HTR1D|HTR1E|HTR1F|HTR2A|HTR2B|HTR2C|HTR3A|HTR5A|HTR6|HTR7,neurology/psychiatry,schizophrenia
Conivaptan HCl,Vaprisol ,Launched,vasopressin receptor antagonist,AVPR1A|AVPR2,endocrinology,hyponatremia
Cortisone acetate,Cortone ,Launched,glucocorticoid receptor agonist,NR3C1,pulmonary|rheumatology|allergy|dermatology|ophthalmology|gastroenterology|infectious disease,asthma|rheumatoid arthritis|urticaria|osteoarthritis|psoriasis|allergic rhinitis|conjunctivitis|ulcerative colitis|meningitis
Creatinine,,Preclinical,,,,
Crystal violet,,Launched,other antibiotic,,,
Curcumin,,Launched,cyclooxygenase inhibitor|histone acetyltransferase inhibitor|lipoxygenase inhibitor|NFkB pathway inhibitor,APP|CA1|CA12|CA14|CA2|CA4|CA6|CA9|CYP3A4|DNMT3B|EP300|MMP13|MMP9|NOS2|PTGS1|PTGS2|XDH,,
Cyclosporine,Neoral ,Launched,calcineurin inhibitor,ABCB11|CAMLG|FPR1|PPIA|PPIF|PPP3R2|SLC10A1|SLCO1B1|SLCO1B3,transplant|rheumatology|dermatology,organ rejection|rheumatoid arthritis|psoriasis
CYPERMETHRIN,,Launched,,,,
Cyproheptadine HCl,Periactin ,Launched,histamine receptor antagonist,ADRA1A|ADRA1B|ADRA1D|CHRM1|CHRM2|CHRM3|HRH1|HTR2A|HTR2C|HTR6|HTR7,allergy|otolaryngology|ophthalmology|dermatology,allergic rhinitis|vasomotor rhinitis|conjunctivitis|urticaria|dermatographism
CYROMAZINE,,Launched,,,,
CYTARABINE,,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE,hematologic malignancy,acute lymphoblastic leukemia (ALL)|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|non-Hodgkin lymphoma (NHL)
Cytarabine,,Launched,ribonucleotide reductase inhibitor,POLA1|POLB|POLD1|POLE,hematologic malignancy,acute lymphoblastic leukemia (ALL)|chronic lymphocytic leukemia (CLL)|acute myeloid leukemia (AML)|non-Hodgkin lymphoma (NHL)
Cytidine,,Preclinical,DNA synthesis inhibitor|RNA synthesis inhibitor,,,
D-Cycloserine,,Launched,bacterial cell wall synthesis inhibitor,GRIN1,infectious disease,tuberculosis
DACARBAZINE,,Launched,DNA alkylating agent,PGD|POLA2,oncology|hematologic malignancy,melanoma|Hodgkin's lymphoma
Dacarbazine,DTIC-Dome,Launched,DNA alkylating agent,PGD|POLA2,oncology|hematologic malignancy,melanoma|Hodgkin's lymphoma
Daidzein,,Phase 2,estrogen receptor agonist,ESRRA|ESRRB|ESRRG|TRPC5,,
DANOFLOXACIN,,Launched,bacterial DNA gyrase inhibitor,,pulmonary,bovine respiratory disease (BRD)
Danofloxacin Mesylate,,Launched,bacterial DNA gyrase inhibitor,,pulmonary,bovine respiratory disease (BRD)
Dapoxetine hydrochloride,Priligy,Launched,selective serotonin reuptake inhibitor (SSRI),HTR1A|HTR1B|HTR2C|SLC6A4,urology,premature ejaculation (PE)
Daptomycin,,Launched,bacterial cell wall synthesis inhibitor,,infectious disease,skin infections|endocarditis
Darifenacin HBr,,Launched,acetylcholine receptor antagonist,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5,urology,urinary incontinence
Dasatinib,BMS-354825,Launched,Bcr-Abl kinase inhibitor|ephrin inhibitor|KIT inhibitor|PDGFR tyrosine kinase receptor inhibitor|src inhibitor|tyrosine kinase inhibitor,ABL1|ABL2|BLK|EPHA2|FGR|FRK|FYN|HCK|KIT|LCK|LYN|PDGFRB|SRC|SRMS|STAT5B|YES1,hematologic malignancy,chronic myeloid leukemia (CML)|acute lymphoblastic leukemia (ALL)
DAUNOMYCIN HCL,Daunorubicin,Launched,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)
Daunorubicin HCl,Daunomycin HCl ,Launched,RNA synthesis inhibitor|topoisomerase inhibitor,TOP2A|TOP2B,hematologic malignancy,acute myeloid leukemia (AML)|acute lymphoblastic leukemia (ALL)
Decitabine,,Launched,DNA methyltransferase inhibitor,DNMT1|DNMT3A,hematologic malignancy|hematology,myelodysplastic diseases (MDS)|anemia|chronic myeloid leukemia (CML)
Deferasirox,Exjade ,Launched,chelating agent,CYP3A4,hematology,transfusional hemosiderosis|thalassemia|iron overload
Deflazacort,Calcort,Launched,glucocorticoid receptor agonist,NR3C1,rheumatology,joint inflammation
Desonide,,Launched,glucocorticoid receptor agonist,NR3C1|PLA2G1B,gastroenterology,Crohn's disease
Detomidine HCl,,Launched,adrenergic receptor agonist,ADRA2A,neurology/psychiatry,sedative
DEXAMETHASONE,,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
Dexamethasone,,Launched,glucocorticoid receptor agonist,ANXA1|NOS2|NR0B1|NR3C1|NR3C2,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
Dexamethasone acetate,,Launched,glucocorticoid receptor agonist,,endocrinology|rheumatology|allergy|gastroenterology|hematology|neurology/psychiatry|dermatology,hypercalcemia|rheumatoid arthritis|psoriatic arthritis|osteoarthritis|allergic rhinitis|ulcerative colitis|anemia|multiple sclerosis|enteritis|lupus|dermatitis herpetiformis (DH)|nephrotic syndrome|psoriasis
DEXBROMPHENIRAMINE MALEATE,,Lanched,histamine receptor antagonist,,allergy,
DEXCHLORPHENIRAMINE MALEATE,,Launched,histamine receptor antagonist,,allergy|cardiology,allergic conjunctivitis|allergic rhinitis|urticaria|angioedema
DEXFENFLURAMINE HCl,,Withdrawn,serotonin receptor agonist,HTR2C|SLC6A4,,
Dexrazoxane Hydrochloride,,Launched,chelating agent|topoisomerase inhibitor,TOP2A|TOP2B,cardiology,cardiomyopathy
Dextrose,D-glucose,Launched,,,endocrinology,hypoglycemia
DIAZEPAM,,Launched,benzodiazepine receptor agonist,ADRA1A|GABRA1|GABRA2|GABRA3|GABRA4|GABRA5|GABRA6|GABRB1|GABRB2|GABRB3|GABRD|GABRE|GABRG1|GABRG2|GABRG3|GABRP|GABRQ|GABRR1|GABRR2|GABRR3|TSPO,neurology/psychiatry,generalized anxiety disorder (GAD)|abstinence from alcohol|hallucinosis|tremors
Dichlorphenamide,Diclofenamide ,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA2|CA4|CA7,ophthalmology|neurology/psychiatry,glaucoma|epilepsy
Diclazuril,,Launched,antiprotozoal agent,,infectious disease,equine protozoal myeloencephalitis (EPM)
Diclofenac,,Launched,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|migraine headache
Diclofenac,,Launched,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|migraine headache
Diclofenac Potassium,,Launched,cyclooxygenase inhibitor,AKR1C3|ALOX5|ASIC1|ASIC3|KCNQ2|KCNQ3|PLA2G2A|PPARG|PTGS1|PTGS2|SCN4A,rheumatology|neurology/psychiatry,rheumatoid arthritis|osteoarthritis|migraine headache
Didanosine,Videx,Launched,nucleoside reverse transcriptase inhibitor,PNP,infectious disease,human immunodeficiency virus (HIV-1)
Dienogest,,Launched,progesterone receptor agonist,PGR,endocrinology|obstetrics/gynecology,contraceptive|endometriosis
Diethylstilbestrol,Stilbestrol ,Withdrawn,estrogen receptor agonist,ESR1|ESR2|ESRRB|ESRRG,,
DIFENIDOL HCl,Diphenidol,Launched,acetylcholine receptor agonist,CHRM1|CHRM2|CHRM3|CHRM4,neurology/psychiatry,vertigo
DIFLOXACIN Hydrochloride,,Launched,bacterial DNA gyrase inhibitor,,infectious disease,skin infections|urinary tract infections
DIGITOXIN,,Launched,ATPase inhibitor,ATP1A1,,cardiology
Diltiazem HCl,Tiazac ,Launched,calcium channel blocker,CACNA1C|CACNA1S|CACNA2D1|CACNG1|HTR3A|KCNA5,cardiology,hypertension|angina pectoris
DIMENHYDRINATE,,Launched,histamine receptor antagonist,HRH1,neurology/psychiatry|gastroenterology,motion sickness|nausea|vomiting
Dimethyl Fumarate,,Launched,nuclear factor erythroid derived|like (NRF2) activator,KEAP1,neurology/psychiatry,multiple sclerosis
Diphenhydramine HCl,Benadryl,Launched,histamine receptor antagonist,HRH1,neurology/psychiatry,headache
DIPHENOXYLATE HCl,,Launched,,,gastroenterology,diarrhea
DIPYIMADOLE,DIPYRIDAMOLE,Launched,phosphodiesterase inhibitor,ADA|PDE10A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|SLC29A1,cardiology,coronary artery disease (CAD)|peripheral artery disease (PAD)|hypertension
Dipyridamole,Persantine,Launched,phosphodiesterase inhibitor,ADA|PDE10A|PDE1A|PDE1B|PDE1C|PDE2A|PDE3A|PDE3B|PDE4A|PDE4B|PDE4C|PDE4D|PDE5A|PDE6A|PDE6B|PDE6C|PDE6D|PDE6G|PDE6H|PDE7A|PDE7B|PDE8A|PDE8B|PDE9A|SLC29A1,cardiology,coronary artery disease (CAD)|peripheral artery disease (PAD)|hypertension
DIRITHROMYCIN,,Launched,bacterial 50S ribosomal subunit inhibitor,,pulmonary,bronchitis
Disodium Cromoglycate,,Launched,immunosuppressant,KCNMA1|S100P,pulmonary|ophthalmology|allergy|gastroenterology,asthma|conjunctivitis|urticaria|ulcerative colitis
Disulfiram,Antabuse,Launched,aldehyde dehydrogenase inhibitor|DNA methyltransferase inhibitor|TRPV agonist,ALDH2|DBH,neurology/psychiatry,abstinence from alcohol
DL-Adrenaline,,,,,,
Docetaxel,Taxotere ,Launched,tubulin polymerization inhibitor,BCL2|MAP2|MAP4|MAPT|NR1I2|TUBB|TUBB1,oncology,breast cancer|non-small cell lung cancer (NSCLC)|prostate cancer|gastric adenocarcinoma|head and neck squamous cell carcinoma (HNSCC)
Docosanol,Abreva ,Launched,lipase clearing factor inhibitor,TLR7,dental,cold sore
DOFETILIDE,,Withdrawn,potassium channel blocker,KCNH1|KCNH2|KCNJ12|KCNK2,,
Dofetilide,Tikosyn ,Withdrawn,potassium channel blocker,KCNH1|KCNH2|KCNJ12|KCNK2,,
DOLASETRON HCl,,Launched,serotonin receptor antagonist,HTR3A,gastroenterology,nausea|vomiting
Domperidone,Motilium ,Launched,dopamine receptor antagonist,DRD2|DRD3,infectious disease,fescue toxicosis
DONEPEZIL HCl,,Launched,acetylcholinesterase inhibitor,ACHE|HTR2A,neurology/psychiatry,Alzheimer's disease
Donepezil HCl,Aricept,Launched,acetylcholinesterase inhibitor,ACHE|HTR2A,neurology/psychiatry,Alzheimer's disease
Dopamine hydrochloride,Inotropin ,,dopamine receptor agonist,DBH|DRD1|DRD2|DRD3|DRD4|DRD5|HTR1A|HTR7|SLC6A2|SLC6A3|SLC6A4,cardiology|neurology/psychiatry,ventricular arrhythmias|depression|headache|tremors
Doripenem Hydrate,,Launched,bacterial cell wall synthesis inhibitor,DPEP1,infectious disease,intra-abdominal infections|urinary tract infections|pyelonephritis
Dorzolamide HCL,,Launched,carbonic anhydrase inhibitor,CA1|CA12|CA14|CA2|CA4|CA7,ophthalmology,intraocular pressure|glaucoma
DOTHIEPIN HCl,Dosulepin,Launched,norepinephrine reuptake inhibitor|serotoninÐnorepinephrine reuptake inhibitor (SNRI)|tricyclic antidepressant,CHRM1|CHRM2|CHRM3|CHRM4|CHRM5|HRH1|SLC6A2|SLC6A4,neurology/psychiatry,depression
Doxazosin mesylate,,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|KCNH2|KCNH6|KCNH7,urology|cardiology,benign prostatic hyperplasia (BPH)|hypertension
Doxercalciferol,Hectorol ,Launched,vitamin D receptor agonist,VDR,nephrology|endocrinology,chronic kidney disease (CKD)|hyperparathyroidism
DOXIFLURIDINE,,Launched,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer
Doxifluridine,,Launched,thymidylate synthase inhibitor,TYMS,oncology,colorectal cancer
Doxorubicin,Adriamycin,Launched,topoisomerase inhibitor,TOP2A,hematologic malignancy|oncology,acute lymphoblastic leukemia (ALL)|acute myeloid leukemia (AML)|Wilm's tumor|breast cancer|ovarian cancer|Hodgkin's lymphoma|bladder cancer|multiple myeloma
Dronedarone HCl,Multaq ,Launched,adrenergic receptor antagonist,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|CACNA1C|CACNA1D|CACNA1F|CACNA1S|CACNB1|CACNB2|CACNB3|CACNB4|KCNA5|KCNH2|KCNK2|SCN1A,cardiology,atrial fibrillation (AF)
drospirenone,,Launched,mineralocorticoid receptor antagonist,AR|NR3C2|PGR,endocrinology,contraceptive
Drospirenone,,Launched,mineralocorticoid receptor antagonist,AR|NR3C2|PGR,endocrinology,contraceptive
Droxidopa,L-DOPS ,Launched,norepinephrine precursor,ADRA1A|ADRA1B|ADRA1D|ADRA2A|ADRA2B|ADRA2C|ADRB1|ADRB2|ADRB3|PAH,cardiology|neurology/psychiatry,hypertension|Parkinson's Disease
DULOXETINE HCl,,Launched,norepinephrine reuptake inhibitor|serotoninÐnorepinephrine reuptake inhibitor (SNRI),HTR2A|HTR2C|HTR6|SLC6A2|SLC6A3|SLC6A4,neurology/psychiatry,depression|generalized anxiety disorder (GAD)|muscle pain|peripheral neuropathy
